pfamID	Uniprot_ID	seq id	alignment start	alignment end	Pfam_description.
Q9P2J2	TUTLA_HUMAN	IGSF9	136	223	Immunoglobulin I-set domain
Q9P2V4	LRIT1_HUMAN	LRIT1	256	345	Immunoglobulin I-set domain
Q9UBF9	MYOTI_HUMAN	MYOT	349	440	Immunoglobulin I-set domain
Q9UBF9	MYOTI_HUMAN	MYOT	250	340	Immunoglobulin I-set domain
Q9ULH4	LRFN2_HUMAN	LRFN2	289	376	Immunoglobulin I-set domain
Q9UQ52	CNTN6_HUMAN	CNTN6	318	403	Immunoglobulin I-set domain
Q9UQ52	CNTN6_HUMAN	CNTN6	408	496	Immunoglobulin I-set domain
Q9Y6N7	ROBO1_HUMAN	ROBO1	170	258	Immunoglobulin I-set domain
Q9Y6N7	ROBO1_HUMAN	ROBO1	262	347	Immunoglobulin I-set domain
A0A087WV53	SPEGN_HUMAN	SPEGNB	29	49	IQ calmodulin-binding motif
A6NCM1	IQCAL_HUMAN	IQCA1L	207	227	IQ calmodulin-binding motif
A8MTL0	IQCF5_HUMAN	IQCF5	68	88	IQ calmodulin-binding motif
A8MTL0	IQCF5_HUMAN	IQCF5	12	32	IQ calmodulin-binding motif
A8MYZ5	IQCF6_HUMAN	IQCF6	43	63	IQ calmodulin-binding motif
A8MYZ5	IQCF6_HUMAN	IQCF6	66	79	IQ calmodulin-binding motif
B2RTY4	MYO9A_HUMAN	MYO9A	1075	1095	IQ calmodulin-binding motif
B2RTY4	MYO9A_HUMAN	MYO9A	1043	1063	IQ calmodulin-binding motif
B2RTY4	MYO9A_HUMAN	MYO9A	1116	1136	IQ calmodulin-binding motif
B2RTY4	MYO9A_HUMAN	MYO9A	1139	1159	IQ calmodulin-binding motif
O00159	MYO1C_HUMAN	MYO1C	758	777	IQ calmodulin-binding motif
O00159	MYO1C_HUMAN	MYO1C	735	755	IQ calmodulin-binding motif
O14829	PPE1_HUMAN	PPEF1	17	37	IQ calmodulin-binding motif
O43795	MYO1B_HUMAN	MYO1B	751	771	IQ calmodulin-binding motif
O43795	MYO1B_HUMAN	MYO1B	705	725	IQ calmodulin-binding motif
O94832	MYO1D_HUMAN	MYO1D	699	719	IQ calmodulin-binding motif
P0C7M6	IQCF3_HUMAN	IQCF3	90	110	IQ calmodulin-binding motif
P0C7M6	IQCF3_HUMAN	IQCF3	34	54	IQ calmodulin-binding motif
P17677	NEUM_HUMAN	GAP43	32	52	IQ calmodulin-binding motif
P35580	MYH10_HUMAN	MYH10	787	807	IQ calmodulin-binding motif
P46940	IQGA1_HUMAN	IQGAP1	776	796	IQ calmodulin-binding motif
P46940	IQGA1_HUMAN	IQGAP1	837	856	IQ calmodulin-binding motif
P46940	IQGA1_HUMAN	IQGAP1	806	826	IQ calmodulin-binding motif
P46940	IQGA1_HUMAN	IQGAP1	747	766	IQ calmodulin-binding motif
Q13402	MYO7A_HUMAN	MYO7A	768	788	IQ calmodulin-binding motif
Q13402	MYO7A_HUMAN	MYO7A	814	834	IQ calmodulin-binding motif
Q13459	MYO9B_HUMAN	MYO9B	980	1000	IQ calmodulin-binding motif
Q13459	MYO9B_HUMAN	MYO9B	1002	1022	IQ calmodulin-binding motif
Q13459	MYO9B_HUMAN	MYO9B	1025	1045	IQ calmodulin-binding motif
Q13459	MYO9B_HUMAN	MYO9B	957	977	IQ calmodulin-binding motif
Q13576	IQGA2_HUMAN	IQGAP2	691	711	IQ calmodulin-binding motif
Q13576	IQGA2_HUMAN	IQGAP2	721	741	IQ calmodulin-binding motif
Q15051	IQCB1_HUMAN	IQCB1	388	408	IQ calmodulin-binding motif
Q15051	IQCB1_HUMAN	IQCB1	295	315	IQ calmodulin-binding motif
Q15506	SP17_HUMAN	SPA17	115	135	IQ calmodulin-binding motif
Q5VST9	OBSCN_HUMAN	OBSCN	4873	4893	IQ calmodulin-binding motif
Q6IPM2	IQCE_HUMAN	IQCE	602	622	IQ calmodulin-binding motif
Q6IPM2	IQCE_HUMAN	IQCE	543	563	IQ calmodulin-binding motif
Q6PIF6	MYO7B_HUMAN	MYO7B	787	807	IQ calmodulin-binding motif
Q6PIF6	MYO7B_HUMAN	MYO7B	833	853	IQ calmodulin-binding motif
Q6PIF6	MYO7B_HUMAN	MYO7B	764	784	IQ calmodulin-binding motif
Q6PIF6	MYO7B_HUMAN	MYO7B	856	876	IQ calmodulin-binding motif
Q86VI3	IQGA3_HUMAN	IQGAP3	821	841	IQ calmodulin-binding motif
Q86VI3	IQGA3_HUMAN	IQGAP3	761	781	IQ calmodulin-binding motif
Q86VI3	IQGA3_HUMAN	IQGAP3	791	811	IQ calmodulin-binding motif
Q86VI3	IQGA3_HUMAN	IQGAP3	733	751	IQ calmodulin-binding motif
Q8IXL9	IQCF2_HUMAN	IQCF2	100	120	IQ calmodulin-binding motif
Q8IXL9	IQCF2_HUMAN	IQCF2	44	64	IQ calmodulin-binding motif
Q8IXL9	IQCF2_HUMAN	IQCF2	69	87	IQ calmodulin-binding motif
Q8IZT6	ASPM_HUMAN	ASPM	2094	2114	IQ calmodulin-binding motif
Q8IZT6	ASPM_HUMAN	ASPM	3080	3100	IQ calmodulin-binding motif
Q8IZT6	ASPM_HUMAN	ASPM	2312	2332	IQ calmodulin-binding motif
Q8IZT6	ASPM_HUMAN	ASPM	3182	3202	IQ calmodulin-binding motif
Q8IZT6	ASPM_HUMAN	ASPM	2335	2355	IQ calmodulin-binding motif
Q8IZT6	ASPM_HUMAN	ASPM	2739	2759	IQ calmodulin-binding motif
Q8IZT6	ASPM_HUMAN	ASPM	1898	1918	IQ calmodulin-binding motif
Q8IZT6	ASPM_HUMAN	ASPM	1394	1414	IQ calmodulin-binding motif
Q8IZT6	ASPM_HUMAN	ASPM	2532	2551	IQ calmodulin-binding motif
Q8IZT6	ASPM_HUMAN	ASPM	1752	1772	IQ calmodulin-binding motif
Q8IZT6	ASPM_HUMAN	ASPM	2385	2405	IQ calmodulin-binding motif
Q8IZT6	ASPM_HUMAN	ASPM	1348	1368	IQ calmodulin-binding motif
Q8IZT6	ASPM_HUMAN	ASPM	2458	2478	IQ calmodulin-binding motif
Q8IZT6	ASPM_HUMAN	ASPM	1802	1822	IQ calmodulin-binding motif
Q8IZT6	ASPM_HUMAN	ASPM	1560	1580	IQ calmodulin-binding motif
Q8IZT6	ASPM_HUMAN	ASPM	2625	2645	IQ calmodulin-binding motif
Q8IZT6	ASPM_HUMAN	ASPM	1583	1603	IQ calmodulin-binding motif
Q8IZT6	ASPM_HUMAN	ASPM	2190	2210	IQ calmodulin-binding motif
Q8IZT6	ASPM_HUMAN	ASPM	1465	1485	IQ calmodulin-binding motif
Q8IZT6	ASPM_HUMAN	ASPM	1656	1676	IQ calmodulin-binding motif
Q8IZT6	ASPM_HUMAN	ASPM	2240	2260	IQ calmodulin-binding motif
Q8IZT6	ASPM_HUMAN	ASPM	1729	1749	IQ calmodulin-binding motif
Q8IZT6	ASPM_HUMAN	ASPM	1971	1991	IQ calmodulin-binding motif
Q8IZT6	ASPM_HUMAN	ASPM	2666	2686	IQ calmodulin-binding motif
Q8IZT6	ASPM_HUMAN	ASPM	2933	2953	IQ calmodulin-binding motif
Q8IZT6	ASPM_HUMAN	ASPM	2408	2428	IQ calmodulin-binding motif
Q8IZT6	ASPM_HUMAN	ASPM	1875	1895	IQ calmodulin-binding motif
Q8IZT6	ASPM_HUMAN	ASPM	1826	1845	IQ calmodulin-binding motif
Q8IZT6	ASPM_HUMAN	ASPM	2044	2064	IQ calmodulin-binding motif
Q8IZT6	ASPM_HUMAN	ASPM	1316	1336	IQ calmodulin-binding motif
Q8IZT6	ASPM_HUMAN	ASPM	2021	2041	IQ calmodulin-binding motif
Q8IZT6	ASPM_HUMAN	ASPM	3030	3050	IQ calmodulin-binding motif
Q8IZT6	ASPM_HUMAN	ASPM	3205	3223	IQ calmodulin-binding motif
Q8IZT6	ASPM_HUMAN	ASPM	1633	1652	IQ calmodulin-binding motif
Q8IZT6	ASPM_HUMAN	ASPM	2481	2500	IQ calmodulin-binding motif
Q8IZT6	ASPM_HUMAN	ASPM	1488	1508	IQ calmodulin-binding motif
Q8IZT6	ASPM_HUMAN	ASPM	2955	2975	IQ calmodulin-binding motif
Q8IZT6	ASPM_HUMAN	ASPM	2860	2880	IQ calmodulin-binding motif
Q8IZT6	ASPM_HUMAN	ASPM	2689	2709	IQ calmodulin-binding motif
Q8IZT6	ASPM_HUMAN	ASPM	1848	1865	IQ calmodulin-binding motif
Q8N6M8	IQCF1_HUMAN	IQCF1	71	89	IQ calmodulin-binding motif
Q8N6M8	IQCF1_HUMAN	IQCF1	125	145	IQ calmodulin-binding motif
Q8NEV4	MYO3A_HUMAN	MYO3A	1347	1367	IQ calmodulin-binding motif
Q8NEV4	MYO3A_HUMAN	MYO3A	1083	1101	IQ calmodulin-binding motif
Q8WXR4	MYO3B_HUMAN	MYO3B	1088	1108	IQ calmodulin-binding motif
Q92686	NEUG_HUMAN	NRGN	27	47	IQ calmodulin-binding motif
Q96DY2	DRC10_HUMAN	IQCD	401	421	IQ calmodulin-binding motif
Q96JM4	LRIQ1_HUMAN	LRRIQ1	1396	1416	IQ calmodulin-binding motif
Q96JM4	LRIQ1_HUMAN	LRRIQ1	1336	1356	IQ calmodulin-binding motif
Q96L03	SPT17_HUMAN	SPATA17	33	53	IQ calmodulin-binding motif
Q96L03	SPT17_HUMAN	SPATA17	95	111	IQ calmodulin-binding motif
Q96L03	SPT17_HUMAN	SPATA17	56	76	IQ calmodulin-binding motif
Q9H095	DRC9_HUMAN	IQCG	394	413	IQ calmodulin-binding motif
Q9H0A6	RNF32_HUMAN	RNF32	187	207	IQ calmodulin-binding motif
Q9H0B3	IQCN_HUMAN	IQCN	928	947	IQ calmodulin-binding motif
Q9H0B3	IQCN_HUMAN	IQCN	1137	1157	IQ calmodulin-binding motif
Q9H0B3	IQCN_HUMAN	IQCN	974	992	IQ calmodulin-binding motif
Q9H0B3	IQCN_HUMAN	IQCN	104	124	IQ calmodulin-binding motif
Q9H0B3	IQCN_HUMAN	IQCN	1114	1134	IQ calmodulin-binding motif
Q9H0B3	IQCN_HUMAN	IQCN	950	969	IQ calmodulin-binding motif
Q9HD67	MYO10_HUMAN	MYO10	743	763	IQ calmodulin-binding motif
Q9HD67	MYO10_HUMAN	MYO10	767	786	IQ calmodulin-binding motif
Q9HD67	MYO10_HUMAN	MYO10	789	809	IQ calmodulin-binding motif
Q9NQX4	MYO5C_HUMAN	MYO5C	808	828	IQ calmodulin-binding motif
Q9NQX4	MYO5C_HUMAN	MYO5C	856	876	IQ calmodulin-binding motif
Q9NQX4	MYO5C_HUMAN	MYO5C	757	777	IQ calmodulin-binding motif
Q9NQX4	MYO5C_HUMAN	MYO5C	831	851	IQ calmodulin-binding motif
Q9UBC5	MYO1A_HUMAN	MYO1A	744	764	IQ calmodulin-binding motif
Q9UBC5	MYO1A_HUMAN	MYO1A	698	718	IQ calmodulin-binding motif
Q9UKN7	MYO15_HUMAN	MYO15A	1926	1946	IQ calmodulin-binding motif
Q9ULV0	MYO5B_HUMAN	MYO5B	765	785	IQ calmodulin-binding motif
Q9ULV0	MYO5B_HUMAN	MYO5B	884	904	IQ calmodulin-binding motif
Q9ULV0	MYO5B_HUMAN	MYO5B	813	833	IQ calmodulin-binding motif
Q9ULV0	MYO5B_HUMAN	MYO5B	836	856	IQ calmodulin-binding motif
Q9ULV0	MYO5B_HUMAN	MYO5B	788	808	IQ calmodulin-binding motif
Q9ULV0	MYO5B_HUMAN	MYO5B	861	881	IQ calmodulin-binding motif
Q9UQD0	SCN8A_HUMAN	SCN8A	1896	1916	IQ calmodulin-binding motif
Q9Y283	INVS_HUMAN	INVS	557	576	IQ calmodulin-binding motif
Q9Y283	INVS_HUMAN	INVS	917	937	IQ calmodulin-binding motif
Q9Y4I1	MYO5A_HUMAN	MYO5A	815	835	IQ calmodulin-binding motif
Q9Y4I1	MYO5A_HUMAN	MYO5A	863	883	IQ calmodulin-binding motif
Q9Y4I1	MYO5A_HUMAN	MYO5A	767	787	IQ calmodulin-binding motif
Q9Y4I1	MYO5A_HUMAN	MYO5A	886	906	IQ calmodulin-binding motif
Q9Y4I1	MYO5A_HUMAN	MYO5A	838	858	IQ calmodulin-binding motif
Q9Y4I1	MYO5A_HUMAN	MYO5A	790	810	IQ calmodulin-binding motif
Q9Y6Y1	CMTA1_HUMAN	CAMTA1	1594	1609	IQ calmodulin-binding motif
A0A087WVF3	TBC3D_HUMAN	TBC1D3D	104	313	Rab-GTPase-TBC domain
A0A087WXS9	TBC3I_HUMAN	TBC1D3I	104	313	Rab-GTPase-TBC domain
A0A087X179	TBC3E_HUMAN	TBC1D3E	104	313	Rab-GTPase-TBC domain
A0A087X1G2	TBC3K_HUMAN	TBC1D3K	104	313	Rab-GTPase-TBC domain
A6NDS4	TBC3B_HUMAN	TBC1D3B	104	313	Rab-GTPase-TBC domain
A6NER0	TBC3F_HUMAN	TBC1D3F	104	313	Rab-GTPase-TBC domain
B9A6J9	TBC3L_HUMAN	TBC1D3L	104	313	Rab-GTPase-TBC domain
O43147	SGSM2_HUMAN	SGSM2	781	962	Rab-GTPase-TBC domain
O60343	TBCD4_HUMAN	TBC1D4	921	1132	Rab-GTPase-TBC domain
O60347	TBC12_HUMAN	TBC1D12	487	712	Rab-GTPase-TBC domain
O60447	EVI5_HUMAN	EVI5	166	368	Rab-GTPase-TBC domain
O95759	TBCD8_HUMAN	TBC1D8	508	712	Rab-GTPase-TBC domain
P0C7X1	TBC3H_HUMAN	TBC1D3H	104	313	Rab-GTPase-TBC domain
P35125	UBP6_HUMAN	USP6	103	312	Rab-GTPase-TBC domain
Q0IIM8	TBC8B_HUMAN	TBC1D8B	490	694	Rab-GTPase-TBC domain
Q2M2D7	TBC28_HUMAN	TBC1D28	104	201	Rab-GTPase-TBC domain
Q2NKQ1	SGSM1_HUMAN	SGSM1	914	1105	Rab-GTPase-TBC domain
Q3MII6	TBC25_HUMAN	TBC1D25	231	436	Rab-GTPase-TBC domain
Q4KMP7	TB10B_HUMAN	TBC1D10B	363	565	Rab-GTPase-TBC domain
Q5R372	RBG1L_HUMAN	RABGAP1L	541	744	Rab-GTPase-TBC domain
Q5TC63	GRTP1_HUMAN	GRTP1	71	278	Rab-GTPase-TBC domain
Q66K14	TBC9B_HUMAN	TBC1D9B	511	715	Rab-GTPase-TBC domain
Q6DHY5	TBC3G_HUMAN	TBC1D3G	104	313	Rab-GTPase-TBC domain
Q6IPX1	TBC3C_HUMAN	TBC1D3C	104	313	Rab-GTPase-TBC domain
Q6ZT07	TBCD9_HUMAN	TBC1D9	518	722	Rab-GTPase-TBC domain
Q86TI0	TBCD1_HUMAN	TBC1D1	803	1014	Rab-GTPase-TBC domain
Q86UD7	TBC26_HUMAN	TBC1D26	104	237	Rab-GTPase-TBC domain
Q8IV04	TB10C_HUMAN	TBC1D10C	95	295	Rab-GTPase-TBC domain
Q8IYX1	TBC21_HUMAN	TBC1D21	60	287	Rab-GTPase-TBC domain
Q8IZP1	TBC3A_HUMAN	TBC1D3	104	313	Rab-GTPase-TBC domain
Q8N5T2	TBC19_HUMAN	TBC1D19	362	493	Rab-GTPase-TBC domain
Q8TBP0	TBC16_HUMAN	TBC1D16	428	657	Rab-GTPase-TBC domain
Q8TC07	TBC15_HUMAN	TBC1D15	349	578	Rab-GTPase-TBC domain
Q8TEA7	TBCK_HUMAN	TBCK	470	671	Rab-GTPase-TBC domain
Q8WUA7	TB22A_HUMAN	TBC1D22A	225	469	Rab-GTPase-TBC domain
Q92609	TBCD5_HUMAN	TBC1D5	84	381	Rab-GTPase-TBC domain
Q92738	US6NL_HUMAN	USP6NL	103	312	Rab-GTPase-TBC domain
Q96BZ9	TBC20_HUMAN	TBC1D20	63	266	Rab-GTPase-TBC domain
Q96CN4	EVI5L_HUMAN	EVI5L	118	320	Rab-GTPase-TBC domain
Q96DN5	TBC31_HUMAN	TBC1D31	427	619	Rab-GTPase-TBC domain
Q96HU1	SGSM3_HUMAN	SGSM3	117	325	Rab-GTPase-TBC domain
Q9BXI6	TB10A_HUMAN	TBC1D10A	114	315	Rab-GTPase-TBC domain
Q9BYX2	TBD2A_HUMAN	TBC1D2	628	837	Rab-GTPase-TBC domain
Q9HA65	TBC17_HUMAN	TBC1D17	313	542	Rab-GTPase-TBC domain
Q9NU19	TB22B_HUMAN	TBC1D22B	213	457	Rab-GTPase-TBC domain
Q9NUY8	TBC23_HUMAN	TBC1D23	47	246	Rab-GTPase-TBC domain
Q9NVG8	TBC13_HUMAN	TBC1D13	155	367	Rab-GTPase-TBC domain
Q9P0N9	TBCD7_HUMAN	TBC1D7	133	251	Rab-GTPase-TBC domain
Q9P2M4	TBC14_HUMAN	TBC1D14	404	631	Rab-GTPase-TBC domain
Q9ULP9	TBC24_HUMAN	TBC1D24	48	255	Rab-GTPase-TBC domain
Q9UPU7	TBD2B_HUMAN	TBC1D2B	665	876	Rab-GTPase-TBC domain
Q9Y2I9	TBC30_HUMAN	TBC1D30	252	477	Rab-GTPase-TBC domain
Q9Y3P9	RBGP1_HUMAN	RABGAP1	569	772	Rab-GTPase-TBC domain
A0A087X1C5	CP2D7_HUMAN	CYP2D7	345	512	Cytochrome P450
A0A087X1C5	CP2D7_HUMAN	CYP2D7	34	332	Cytochrome P450
O15528	CP27B_HUMAN	CYP27B1	41	505	Cytochrome P450
O43174	CP26A_HUMAN	CYP26A1	45	487	Cytochrome P450
O75881	CP7B1_HUMAN	CYP7B1	46	500	Cytochrome P450
P04798	CP1A1_HUMAN	CYP1A1	40	501	Cytochrome P450
P05093	CP17A_HUMAN	CYP17A1	28	493	Cytochrome P450
P05108	CP11A_HUMAN	CYP11A1	52	511	Cytochrome P450
P05177	CP1A2_HUMAN	CYP1A2	42	505	Cytochrome P450
P05181	CP2E1_HUMAN	CYP2E1	33	489	Cytochrome P450
P08684	CP3A4_HUMAN	CYP3A4	38	493	Cytochrome P450
P08686	CP21A_HUMAN	CYP21A2	27	480	Cytochrome P450
P10632	CP2C8_HUMAN	CYP2C8	30	487	Cytochrome P450
P10635	CP2D6_HUMAN	CYP2D6	34	494	Cytochrome P450
P11509	CP2A6_HUMAN	CYP2A6	34	491	Cytochrome P450
P11511	CP19A_HUMAN	CYP19A1	46	488	Cytochrome P450
P11712	CP2C9_HUMAN	CYP2C9	30	487	Cytochrome P450
P13584	CP4B1_HUMAN	CYP4B1	46	501	Cytochrome P450
P15538	C11B1_HUMAN	CYP11B1	42	498	Cytochrome P450
P19099	C11B2_HUMAN	CYP11B2	42	499	Cytochrome P450
P20813	CP2B6_HUMAN	CYP2B6	31	488	Cytochrome P450
P20815	CP3A5_HUMAN	CYP3A5	38	492	Cytochrome P450
P20853	CP2A7_HUMAN	CYP2A7	34	491	Cytochrome P450
P22680	CP7A1_HUMAN	CYP7A1	32	497	Cytochrome P450
P24462	CP3A7_HUMAN	CYP3A7	38	493	Cytochrome P450
P24557	THAS_HUMAN	TBXAS1	44	308	Cytochrome P450
P24557	THAS_HUMAN	TBXAS1	313	530	Cytochrome P450
P24903	CP2F1_HUMAN	CYP2F1	31	488	Cytochrome P450
P33260	CP2CI_HUMAN	CYP2C18	30	487	Cytochrome P450
P33261	CP2CJ_HUMAN	CYP2C19	30	487	Cytochrome P450
P51589	CP2J2_HUMAN	CYP2J2	44	498	Cytochrome P450
P78329	CP4F2_HUMAN	CYP4F2	52	515	Cytochrome P450
P98187	CP4F8_HUMAN	CYP4F8	52	515	Cytochrome P450
Q02318	CP27A_HUMAN	CYP27A1	61	526	Cytochrome P450
Q02928	CP4AB_HUMAN	CYP4A11	51	505	Cytochrome P450
Q07973	CP24A_HUMAN	CYP24A1	58	512	Cytochrome P450
Q08477	CP4F3_HUMAN	CYP4F3	52	515	Cytochrome P450
Q16647	PTGIS_HUMAN	PTGIS	30	494	Cytochrome P450
Q16678	CP1B1_HUMAN	CYP1B1	51	520	Cytochrome P450
Q16696	CP2AD_HUMAN	CYP2A13	34	491	Cytochrome P450
Q16850	CP51A_HUMAN	CYP51A1	61	496	Cytochrome P450
Q4G0S4	C27C1_HUMAN	CYP27C1	74	538	Cytochrome P450
Q5TCH4	CP4AM_HUMAN	CYP4A22	51	505	Cytochrome P450
Q6NT55	CP4FN_HUMAN	CYP4F22	60	524	Cytochrome P450
Q6UW02	CP20A_HUMAN	CYP20A1	42	457	Cytochrome P450
Q6V0L0	CP26C_HUMAN	CYP26C1	50	498	Cytochrome P450
Q6VVX0	CP2R1_HUMAN	CYP2R1	40	498	Cytochrome P450
Q6ZSU1	C2G1P_HUMAN	CYP2G1P	1	143	Cytochrome P450
Q6ZWL3	CP4V2_HUMAN	CYP4V2	51	517	Cytochrome P450
Q7Z449	CP2U1_HUMAN	CYP2U1	101	541	Cytochrome P450
Q86W10	CP4Z1_HUMAN	CYP4Z1	47	500	Cytochrome P450
Q8N118	CP4X1_HUMAN	CYP4X1	46	502	Cytochrome P450
Q8N1L4	CP4Z2_HUMAN	CYP4Z2P	47	340	Cytochrome P450
Q8TAV3	CP2W1_HUMAN	CYP2W1	32	486	Cytochrome P450
Q96SQ9	CP2S1_HUMAN	CYP2S1	33	492	Cytochrome P450
Q9HB55	CP343_HUMAN	CYP3A43	38	493	Cytochrome P450
Q9HBI6	CP4FB_HUMAN	CYP4F11	52	515	Cytochrome P450
Q9HCS2	CP4FC_HUMAN	CYP4F12	52	515	Cytochrome P450
Q9NR63	CP26B_HUMAN	CYP26B1	50	490	Cytochrome P450
Q9NYL5	CP39A_HUMAN	CYP39A1	29	463	Cytochrome P450
Q9UNU6	CP8B1_HUMAN	CYP8B1	33	493	Cytochrome P450
Q9Y6A2	CP46A_HUMAN	CYP46A1	34	484	Cytochrome P450
A0A096LNP1	D131B_HUMAN	DEFB131B	28	57	Beta defensin
A8MXU0	DB108_HUMAN	DEFB108A	27	56	Beta defensin
P59861	D131A_HUMAN	DEFB131A	28	57	Beta defensin
Q30KP9	DB135_HUMAN	DEFB135	36	65	Beta defensin
Q30KQ1	DB133_HUMAN	DEFB133	30	60	Beta defensin
Q30KQ4	DB116_HUMAN	DEFB116	39	68	Beta defensin
Q30KQ6	DB114_HUMAN	DEFB114	28	58	Beta defensin
Q30KQ7	DB113_HUMAN	DEFB113	34	62	Beta defensin
Q30KQ8	DB112_HUMAN	DEFB112	53	83	Beta defensin
Q30KQ9	DB110_HUMAN	DEFB110	34	64	Beta defensin
Q4QY38	DB134_HUMAN	DEFB134	31	59	Beta defensin
Q5J5C9	DB121_HUMAN	DEFB121	22	51	Beta defensin
Q7Z7B7	DB132_HUMAN	DEFB132	26	56	Beta defensin
Q7Z7B8	DB128_HUMAN	DEFB128	23	53	Beta defensin
Q8IZN7	D107A_HUMAN	DEFB107A	33	64	Beta defensin
Q8N104	D106A_HUMAN	DEFB106A	25	54	Beta defensin
Q8N687	DB125_HUMAN	DEFB125	26	56	Beta defensin
Q8N688	DB123_HUMAN	DEFB123	24	53	Beta defensin
Q8N690	DB119_HUMAN	DEFB119	27	56	Beta defensin
Q8NES8	DB124_HUMAN	DEFB124	26	55	Beta defensin
Q8NET1	D108B_HUMAN	DEFB108B	27	56	Beta defensin
Q8NG35	D105A_HUMAN	DEFB105A	45	74	Beta defensin
Q8WTQ1	D104A_HUMAN	DEFB104A	29	58	Beta defensin
Q96PH6	DB118_HUMAN	DEFB118	26	55	Beta defensin
Q9BYW3	DB126_HUMAN	DEFB126	26	59	Beta defensin
Q9H1M4	DB127_HUMAN	DEFB127	23	54	Beta defensin
A0A096LP55	QCR6L_HUMAN	UQCRHL	28	91	Ubiquinol-cytochrome C reductase hinge protein
P07919	QCR6_HUMAN	UQCRH	28	91	Ubiquinol-cytochrome C reductase hinge protein
A0A096LPK9	ORN4C_HUMAN	OR4N4C	31	305	Olfactory receptor
A0A0X1KG70	ORM2B_HUMAN	OR4M2B	31	307	Olfactory receptor
A3KFT3	OR2M5_HUMAN	OR2M5	31	308	Olfactory receptor
A4D2G3	O2A25_HUMAN	OR2A25	30	307	Olfactory receptor
A6NCV1	O6C74_HUMAN	OR6C74	29	305	Olfactory receptor
A6ND48	O14I1_HUMAN	OR14I1	29	306	Olfactory receptor
A6NDH6	O5H15_HUMAN	OR5H15	31	308	Olfactory receptor
A6NDL8	O6C68_HUMAN	OR6C68	28	306	Olfactory receptor
A6NET4	OR5K3_HUMAN	OR5K3	31	306	Olfactory receptor
A6NF89	OR6C6_HUMAN	OR6C6	29	306	Olfactory receptor
A6NGY5	O51F1_HUMAN	OR51F1	40	319	Olfactory receptor
A6NH00	OR2T8_HUMAN	OR2T8	27	305	Olfactory receptor
A6NHA9	O4C46_HUMAN	OR4C46	29	303	Olfactory receptor
A6NHG9	O5H14_HUMAN	OR5H14	31	308	Olfactory receptor
A6NIJ9	O6C70_HUMAN	OR6C70	28	306	Olfactory receptor
A6NJZ3	O6C65_HUMAN	OR6C65	28	307	Olfactory receptor
A6NKK0	OR5H1_HUMAN	OR5H1	31	308	Olfactory receptor
A6NL08	O6C75_HUMAN	OR6C75	28	306	Olfactory receptor
A6NL26	OR5BL_HUMAN	OR5B21	29	305	Olfactory receptor
A6NM03	O2AG2_HUMAN	OR2AG2	31	308	Olfactory receptor
A6NM76	O6C76_HUMAN	OR6C76	28	305	Olfactory receptor
A6NMS3	OR5K4_HUMAN	OR5K4	31	305	Olfactory receptor
A6NMU1	O52A4_HUMAN	OR52A4P	35	272	Olfactory receptor
A6NMZ5	O4C45_HUMAN	OR4C45	26	305	Olfactory receptor
A6NND4	O2AT4_HUMAN	OR2AT4	36	313	Olfactory receptor
B2RN74	O11HC_HUMAN	OR11H12	46	323	Olfactory receptor
O14581	OR7AH_HUMAN	OR7A17	31	308	Olfactory receptor
O43749	OR1F1_HUMAN	OR1F1	31	307	Olfactory receptor
O43869	OR2T1_HUMAN	OR2T1	81	357	Olfactory receptor
O60403	O10H2_HUMAN	OR10H2	31	309	Olfactory receptor
O60404	O10H3_HUMAN	OR10H3	32	310	Olfactory receptor
O60412	OR7C2_HUMAN	OR7C2	31	307	Olfactory receptor
O60431	OR1I1_HUMAN	OR1I1	31	307	Olfactory receptor
O76000	OR2B3_HUMAN	OR2B3	31	307	Olfactory receptor
O76001	OR2J3_HUMAN	OR2J3	34	310	Olfactory receptor
O76002	OR2J2_HUMAN	OR2J2	32	308	Olfactory receptor
O76099	OR7C1_HUMAN	OR7C1	31	308	Olfactory receptor
O76100	OR7AA_HUMAN	OR7A10	31	308	Olfactory receptor
O95006	OR2F2_HUMAN	OR2F2	31	307	Olfactory receptor
O95007	OR6B1_HUMAN	OR6B1	31	306	Olfactory receptor
O95013	O4F21_HUMAN	OR4F21	31	305	Olfactory receptor
O95047	OR2A4_HUMAN	OR2A4	30	307	Olfactory receptor
O95221	OR5F1_HUMAN	OR5F1	31	308	Olfactory receptor
O95222	OR6A2_HUMAN	OR6A2	32	312	Olfactory receptor
O95371	OR2C1_HUMAN	OR2C1	31	307	Olfactory receptor
O95918	OR2H2_HUMAN	OR2H2	29	306	Olfactory receptor
P0C604	OR4A8_HUMAN	OR4A8	29	303	Olfactory receptor
P0C617	O5AL1_HUMAN	OR5AL1	47	324	Olfactory receptor
P0C623	OR4Q2_HUMAN	OR4Q2	31	303	Olfactory receptor
P0C626	OR5G3_HUMAN	OR5G3	31	308	Olfactory receptor
P0C628	O5AC1_HUMAN	OR5AC1	31	307	Olfactory receptor
P0C629	O10J4_HUMAN	OR10J4	32	308	Olfactory receptor
P0C645	OR4E1_HUMAN	OR4E1	35	309	Olfactory receptor
P0C646	O52Z1_HUMAN	OR52Z1	17	293	Olfactory receptor
P0C7N1	OR8U8_HUMAN	OR8U8	31	308	Olfactory receptor
